frame_number,x,y,sequence_id,sequence_annotation,number_of_points,still_file,Path,CTsite,CT_serial_number,Folder,xres,yres,Camera_ID
192,1721.867917,857.8277611,29,40,1,PICT0184.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11
196,489.0982913,968.5098638,30,20,1,PICT0188.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11
196,492.9149155,789.128525,31,40,1,PICT0188.JPG,F:\Stills\RPPNP\OCCAJ01Stills\,OCCAJ01,B110816640,OCCAJ01Stills,2592,1944,B11
2,2133,1004.4,0,20,1,a (11).JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12
2,2122.2,770.4,1,40,1,a (11).JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12
3,455.4,1008,2,20,1,a (12).JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12
3,437.4,763.2,3,40,1,a (12).JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12
27,445.7250022,355.0098334,4,Lt,1,a(51)_01.jpeg,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,640,480,B12
27,446.5330102,355.0098334,5,Lt,3,a(51)_01.jpeg,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,640,480,B12
28,518.4457202,349.3537776,5,Lt,3,a(51)_02.jpeg,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,640,480,B12
29,613.7906614,340.4656898,5,Lt,3,a(51)_03.jpeg,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,640,480,B12
110,1415.696566,1408.580364,6,30,1,PICT0123.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12
110,1399.282215,842.2852497,7,40,1,PICT0123.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12
116,1440.318093,1363.440898,8,20,1,PICT0129.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12
116,1448.525269,862.8031886,9,40,1,PICT0129.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12
119,1432.110917,1092.604104,10,20,1,PICT0132.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12
119,1436.214505,809.4565475,11,40,1,PICT0132.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12
127,1497.768322,998.2215854,12,20,1,PICT0140.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12
127,1493.664734,793.0421963,13,40,1,PICT0140.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12
132,2339.003817,1363.440898,14,20,1,PICT0145.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12
132,2355.418168,854.5960131,15,40,1,PICT0145.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12
135,2142.031604,1113.122043,16,20,1,PICT0148.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12
135,2146.135191,817.663723,17,40,1,PICT0148.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12
137,439.0426743,1601.448989,18,20,1,PICT0150.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12
137,463.664201,813.5601352,19,40,1,PICT0150.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12
147,631.9113001,1154.157921,20,20,1,PICT0160.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12
147,623.7041245,760.2134941,21,40,1,PICT0160.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12
150,685.2579412,1072.086165,22,20,1,PICT0163.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12
150,689.361529,784.8350208,23,40,1,PICT0163.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12
158,2482.62939,973.6000587,24,20,1,PICT0171.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12
158,2486.732977,674.0381507,25,40,1,PICT0171.JPG,F:\Stills\RPPNP\OCCAJ04Stills\,OCCAJ04,B121000651,OCCAJ04Stills,2592,1944,B12
0,327.5555556,242.6666684,0,Lt,1,a(43)_01.jpeg,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,720,480,B10
89,1450.401779,2056.001284,1,20,1,PICT0130.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10
89,1458.98963,836.5264567,2,40,1,PICT0130.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10
95,1304.408314,1313.152182,3,20,1,PICT0136.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10
95,1295.820463,883.7596366,4,40,1,PICT0136.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10
100,1364.52327,1171.452642,5,20,1,PICT0141.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10
100,1360.229345,913.8171148,6,40,1,PICT0141.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10
119,1287.232612,1055.516655,7,20,1,PICT0160.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10
119,1295.820463,918.1110402,8,40,1,PICT0160.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10
132,677.4951984,1557.905932,9,20,1,PICT0173.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10
132,673.2012729,961.0502947,10,40,1,PICT0173.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10
140,733.3162292,1287.388629,11,20,1,PICT0181.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10
140,746.1980056,922.4049657,12,40,1,PICT0181.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10
148,625.968093,1162.864791,13,20,1,PICT0189.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10
148,621.6741675,913.8171148,14,40,1,PICT0189.JPG,F:\Stills\RPPNP\OCCAJ06Stills\,OCCAJ06,B100817126,OCCAJ06Stills,3264,2448,B10
