"species","frame_number","x","y","sequence_id","number_of_points","still_file","Path","site_id","CT_serial_number","Folder","xdim","ydim","cam_id","file_name","file_id","Time","Date","PA_cat","Dig","radius","angle","pixdiff","dist","time","speed","frames"
"Da",42,324.8365658,351.2494095,"OCPD62_5",9,"a(08)_01.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","a(8)","a(8)_OCPD62","06:39","03/06/2015","multiple-use","Y",2.01375079563838,-0.0377269250135992,160.598124262862,1.51329711742731,10,0.151329711742731,9
"Da",545,-25.03440903,396.9553738,"OCPD62_51",7,"PICT0061_04.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","PICT0061","PICT0061_OCPD62","08:27","08/05/2015","multiple-use","Y",1.73989629877846,-0.41310425467858,748.795943133642,1.3357031602146,7.5,0.17809375469528,7
"Da",563,214.7512862,247.2116539,"OCPD62_53",4,"PICT0062_01.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","PICT0062","PICT0062_OCPD62","08:43","08/05/2015","multiple-use","Y",4.54597720298091,-0.155837660869152,45.1281653628657,0.304515410629253,10,0.0304515410629253,4
"Da",584,389.9416513,329.4238923,"OCPD62_55",8,"PICT0063_01.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","PICT0063","PICT0063_OCPD62","08:56","08/05/2015","multiple-use","Y",2.23134483195943,0.0321244627857889,397.244024063677,1.22104760044983,3.5,0.348870742985664,8
"Da",609,313.4847194,534.8906428,"OCPD62_57",6,"PICT0069_05.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","PICT0069","PICT0069_OCPD62","06:34","09/05/2015","multiple-use","Y",1.03901513230091,-0.0499063456999523,345.179589891415,0.651077105585994,2.5,0.260430842234398,6
"Da",626,358.6971914,324.785626,"OCPD62_59",6,"PICT0070_01.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","PICT0070","PICT0070_OCPD62","07:09","09/05/2015","multiple-use","Y",2.30967865860389,-0.00139778617980582,367.452646080805,1.04033189917979,2.5,0.416132759671915,6
"Da",647,-17.63014884,323.4558474,"OCPD62_61",11,"PICT0071_01.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","PICT0071","PICT0071_OCPD62","10:37","09/05/2015","multiple-use","Y",2.57331650954075,-0.405160207820685,189.01190718554,0.534150006818719,10,0.0534150006818719,11
"Da",668,334.7611768,262.2860324,"OCPD62_63",14,"PICT0072_01.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","PICT0072","PICT0072_OCPD62","10:41","09/05/2015","multiple-use","Y",3.68481777913574,-0.0270787882913293,361.594226957542,1.85401993264738,7.5,0.247202657686317,14
"Da",689,192.4748679,239.6797964,"OCPD62_65",10,"PICT0128_01.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","PICT0128","PICT0128_OCPD62","16:23","15/05/2015","multiple-use","Y",5.04053589347041,-0.17973807850173,106.555973724729,1.36390466936163,10,0.136390466936163,10
"Da",710,665.876045,441.8061417,"OCPD62_67",7,"PICT0194_01.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","PICT0194","PICT0194_OCPD62","16:54","18/05/2015","multiple-use","Y",1.30880861704076,0.328175073786488,116.304712784204,0.492255706926742,10,0.0492255706926742,7
"Da",63,790.5589865,458.0024896,"OCPD62_7",16,"a(10)_01.jpeg","F:\Stills\APAPD\OCPD62Stills\","OCPD62","B101014253","OCPD62Stills",720,480,"B10","a(10)","a(10)_OCPD62","06:27","05/06/2015","multiple-use","Y",1.22126162316291,0.461947672836141,533.601842132548,0.966642208353035,10,0.0966642208353035,16
