"species","frame_number","x","y","sequence_id","number_of_points","still_file","Path","site_id","CT_serial_number","Folder","xdim","ydim","cam_id","file_name","file_id","Time","Date","PA_cat","Dig","radius","angle","dtime","rtime","absangle"
"Mt",112,303.1790609,399.8807679,"OCGSV45_31",1,"EK000019_01.jpeg","F:\Stills\PNGSV\OCGSV45Stills\","OCGSV45","B131200426","OCGSV45Stills",720,480,"B13","EK000019","EK000019_OCGSV45","02:33","21/04/2017","strict","Y",1.734582363994,-0.0608709778304963,0.10625,0.667588438887831,0.0608709778304963
"Mt",134,127.9325372,269.0004527,"OCGSV45_33",1,"EK000039_01.jpeg","F:\Stills\PNGSV\OCGSV45Stills\","OCGSV45","B131200426","OCGSV45Stills",720,480,"B13","EK000039","EK000039_OCGSV45","04:58","01/05/2017","strict","Y",4.88584765193561,-0.24860858702841,0.206944444444444,1.30027029273578,0.24860858702841
"Mt",183,-170.6576371,462.2243127,"OCGSV45_36",1,"EK000048_06.jpeg","F:\Stills\PNGSV\OCGSV45Stills\","OCGSV45","B131200426","OCGSV45Stills",720,480,"B13","EK000048","EK000048_OCGSV45","19:34","14/05/2017","strict","Y",1.48824830449467,-0.568481439679297,0.815277777777778,5.12254135460336,0.568481439679297
"Mt",0,-106.9817759,639.4599801,"OCGSV46_0",1,"PICT0004_01.jpeg","F:\Stills\PNGSV\OCGSV46Stills\","OCGSV46","B101028490","OCGSV46Stills",720,480,"B10","PICT0004","PICT0004_OCGSV46","00:22","14/04/2017","strict","Y",0.573166715002611,-0.5010257627822,0.0152777777777778,0.0959931088596881,0.5010257627822
"Mt",167,94.90193777,397.7959432,"OCGSV46_10",1,"PICT0016_01.jpeg","F:\Stills\PNGSV\OCGSV46Stills\","OCGSV46","B101028490","OCGSV46Stills",720,480,"B10","PICT0016","PICT0016_OCGSV46","21:16","14/04/2017","strict","Y",1.77637452799428,-0.284424287403694,0.886111111111111,5.56760031386191,0.284424287403694
"Mt",188,722.1743608,782.8824515,"OCGSV46_12",1,"PICT0018_01.jpeg","F:\Stills\PNGSV\OCGSV46Stills\","OCGSV46","B101028490","OCGSV46Stills",720,480,"B10","PICT0018","PICT0018_OCGSV46","23:45","23/04/2017","strict","Y",0.496187716894368,0.388577659225043,0.989583333333333,6.2177354602298,0.388577659225043
"Mt",251,349.0674737,766.7006952,"OCGSV46_14",1,"PICT0025_01.jpeg","F:\Stills\PNGSV\OCGSV46Stills\","OCGSV46","B101028490","OCGSV46Stills",720,480,"B10","PICT0025","PICT0025_OCGSV46","02:14","09/05/2017","strict","Y",0.473552528454824,-0.011729531239281,0.0930555555555556,0.5846852994181,0.011729531239281
"Mt",272,112.4248483,583.5457865,"OCGSV46_15",1,"PICT0026_01.jpeg","F:\Stills\PNGSV\OCGSV46Stills\","OCGSV46","B101028490","OCGSV46Stills",720,480,"B10","PICT0026","PICT0026_OCGSV46","23:25","15/05/2017","strict","Y",0.717928992565963,-0.265623918593718,0.975694444444445,6.13046899763008,0.265623918593718
"Mt",293,619.7477369,367.9740799,"OCGSV46_17",1,"PICT0028_01.jpeg","F:\Stills\PNGSV\OCGSV46Stills\","OCGSV46","B101028490","OCGSV46Stills",720,480,"B10","PICT0028","PICT0028_OCGSV46","03:30","18/05/2017","strict","Y",5.25678871360431,0.27868391172323,0.145833333333333,0.916297857297023,0.27868391172323
"Mt",377,628.3898546,689.6752347,"OCGSV46_22",1,"PICT0032_01.jpeg","F:\Stills\PNGSV\OCGSV46Stills\","OCGSV46","B101028490","OCGSV46Stills",720,480,"B10","PICT0032","PICT0032_OCGSV46","20:49","24/05/2017","strict","Y",0.610695344669406,0.287956058595238,0.867361111111111,5.44979058935229,0.287956058595238
